order_id,customer_id,order_date,amount,status
O0001,C160,2024-04-29,713.98,shipped
O0002,C403,2024-10-09,592.21,pending
O0003,C271,2024-05-28,995.88,shipped
O0004,C370,2024-10-19,661.99,cancelled
O0005,C170,2024-03-10,97.98,shipped
O0006,C205,2024-01-14,508.8,pending
O0007,C431,2024-12-22,865.63,processing
O0008,C250,2024-06-04,762.96,completed
O0009,C447,2024-04-09,569.07,processing
O0010,C271,2024-01-12,788.68,pending
O0011,C226,2024-07-12,326.17,completed
O0012,C420,2024-10-25,850.45,completed
O0013,C478,2024-02-03,227.99,processing
O0014,C360,2024-03-08,296.66,pending
O0015,C135,2024-12-24,300.0,completed
O0016,C218,2024-03-01,545.69,cancelled
O0017,C333,2024-05-03,124.79,shipped
O0018,C407,2024-05-28,719.5,shipped
O0019,C460,2024-09-12,131.73,pending
O0020,C441,2024-09-20,960.27,shipped
O0021,C275,2024-03-11,866.86,shipped
O0022,C481,2024-06-19,300.61,pending
O0023,C370,2024-06-14,447.82,processing
O0024,C275,2024-06-10,212.98,pending
O0025,C383,2024-11-10,700.91,shipped
O0026,C273,2024-05-01,605.09,processing
O0027,C196,2024-10-22,306.81,shipped
O0028,C158,2024-07-22,442.85,cancelled
O0029,C311,2024-07-03,737.38,completed
O0030,C408,2024-07-25,180.77,cancelled
O0031,C256,2024-08-05,511.51,completed
O0032,C500,2024-11-27,342.08,cancelled
O0033,C260,2024-09-03,632.99,completed
O0034,C360,2024-11-13,997.56,shipped
O0035,C135,2024-10-18,806.41,cancelled
O0036,C348,2024-12-27,554.71,cancelled
O0037,C250,2024-09-16,154.48,shipped
O0038,C373,2024-01-22,832.72,cancelled
O0039,C477,2024-10-07,34.08,pending
O0040,C235,2024-02-20,832.54,shipped
O0041,C235,2024-04-22,482.4,processing
O0042,C263,2024-10-30,422.03,cancelled
O0043,C246,2024-09-11,128.84,cancelled
O0044,C184,2024-10-04,14.38,pending
O0045,C483,2024-04-27,75.86,processing
O0046,C120,2024-10-03,176.08,processing
O0047,C397,2024-01-04,409.49,cancelled
O0048,C177,2024-01-11,861.4,shipped
O0049,C369,2024-01-28,79.98,completed
O0050,C473,2024-03-09,352.98,shipped
O0051,C469,2024-11-01,747.95,shipped
O0052,C452,2024-10-04,365.26,cancelled
O0053,C254,2024-02-22,834.36,completed
O0054,C171,2024-05-07,457.44,pending
O0055,C383,2024-06-24,554.63,completed
O0056,C212,2024-01-24,209.47,cancelled
O0057,C454,2024-10-20,416.97,cancelled
O0058,C458,2024-08-25,465.0,shipped
O0059,C228,2024-09-16,534.47,shipped
O0060,C431,2024-05-29,968.99,cancelled
O0061,C230,2024-04-12,475.74,pending
O0062,C330,2024-03-01,848.08,pending
O0063,C486,2024-01-01,809.01,cancelled
O0064,C460,2024-08-01,510.66,completed
O0065,C445,2024-04-18,25.6,processing
O0066,C445,2024-06-08,95.76,processing
O0067,C399,2024-04-05,190.33,completed
O0068,C322,2024-04-03,694.86,shipped
O0069,C286,2024-11-26,774.82,processing
O0070,C229,2024-06-16,511.27,shipped
O0071,C330,2024-05-03,616.3,completed
O0072,C379,2024-09-22,940.73,cancelled
O0073,C354,2024-05-19,396.8,cancelled
O0074,C134,2024-02-18,520.63,shipped
O0075,C294,2024-02-22,756.07,processing
O0076,C451,2024-06-08,157.94,processing
O0077,C283,2024-12-04,168.8,pending
O0078,C319,2024-05-03,32.25,cancelled
O0079,C169,2024-05-07,718.93,processing
O0080,C133,2024-09-20,862.57,pending
O0081,C403,2024-08-26,478.6,completed
O0082,C261,2024-08-11,297.1,cancelled
O0083,C307,2024-04-05,729.62,shipped
O0084,C236,2024-10-11,472.59,pending
O0085,C309,2024-12-24,971.71,pending
O0086,C221,2024-06-21,765.37,completed
O0087,C408,2024-06-17,913.15,processing
O0088,C390,2024-04-08,935.24,pending
O0089,C429,2024-09-30,619.03,completed
O0090,C178,2024-03-17,685.95,cancelled
O0091,C189,2024-03-28,230.57,completed
O0092,C479,2024-05-18,313.3,cancelled
O0093,C195,2024-09-14,93.31,pending
O0094,C353,2024-10-28,297.64,completed
O0095,C114,2024-04-17,436.35,completed
O0096,C260,2024-11-17,872.24,completed
O0097,C240,2024-05-16,419.72,completed
O0098,C328,2024-03-15,516.4,processing
O0099,C306,2024-05-20,379.17,pending
O0100,C199,2024-05-29,497.56,processing
O0101,C170,2024-03-21,868.59,processing
O0102,C240,2024-07-08,336.88,pending
O0103,C353,2024-01-12,504.71,shipped
O0104,C178,2024-12-29,756.79,completed
O0105,C194,2024-12-02,579.13,shipped
O0106,C306,2024-08-10,141.24,shipped
O0107,C302,2024-05-04,894.98,cancelled
O0108,C319,2024-06-25,335.78,pending
O0109,C230,2024-11-29,393.15,processing
O0110,C171,2024-07-06,320.08,shipped
O0111,C352,2024-04-23,686.58,completed
O0112,C116,2024-04-12,332.73,pending
O0113,C350,2024-05-11,735.4,completed
O0114,C210,2024-12-03,522.3,completed
O0115,C237,2024-02-13,180.9,cancelled
O0116,C132,2024-03-08,495.21,completed
O0117,C401,2024-05-06,989.32,processing
O0118,C231,2024-10-28,864.32,processing
O0119,C137,2024-10-31,110.01,completed
O0120,C159,2024-07-16,36.15,cancelled
O0121,C436,2024-03-07,736.21,pending
O0122,C359,2024-11-05,257.59,completed
O0123,C136,2024-11-13,525.69,cancelled
O0124,C488,2024-05-21,702.06,shipped
O0125,C292,2024-12-06,840.98,processing
O0126,C435,2024-09-06,418.13,processing
O0127,C178,2024-10-02,739.55,cancelled
O0128,C224,2024-04-23,321.2,completed
O0129,C438,2024-03-23,583.36,completed
O0130,C102,2024-06-11,498.39,pending
O0131,C395,2024-07-09,696.39,cancelled
O0132,C247,2024-12-29,33.25,cancelled
O0133,C128,2024-01-23,415.63,shipped
O0134,C447,2024-02-14,582.04,cancelled
O0135,C297,2024-01-20,848.77,shipped
O0136,C462,2024-04-11,416.61,processing
